"year","sex","name","n","prop"
1880,"F","Agnes",473,0.00484606
1880,"F","Marie",471,0.00482557
1880,"F","Nora",471,0.00482557
1880,"F","May",462,0.00473336
1880,"F","Mamie",436,0.00446698
1880,"F","Blanche",427,0.00437478
1880,"F","Stella",414,0.00424159
1880,"F","Ellen",411,0.00421085
1880,"F","Nancy",410,0.0042006
1880,"F","Effie",406,0.00415962
1880,"F","Sallie",404,0.00413913
1880,"F","Nettie",403,0.00412889
1880,"F","Della",391,0.00400594
1880,"F","Lizzie",388,0.00397521
1880,"F","Flora",365,0.00373956
1880,"F","Susie",361,0.00369858
1880,"F","Maud",345,0.00353465
1880,"F","Mae",344,0.00352441
1880,"F","Etta",323,0.00330926
1880,"F","Harriet",319,0.00326828
1880,"F","Sadie",317,0.00324778
1880,"F","Caroline",306,0.00313509
1880,"F","Katie",303,0.00310435
1880,"F","Lydia",302,0.0030941
1880,"F","Elsie",301,0.00308386
1880,"F","Kate",299,0.00306337
1880,"F","Susan",286,0.00293018
1880,"F","Mollie",283,0.00289944
1880,"F","Alma",277,0.00283797
1880,"F","Addie",274,0.00280723
1880,"F","Georgia",259,0.00265355
1880,"F","Eliza",252,0.00258183
1880,"F","Lulu",249,0.0025511
1880,"F","Nannie",248,0.00254085
1880,"F","Lottie",245,0.00251012
1880,"F","Amanda",241,0.00246914
1880,"F","Belle",238,0.0024384
1880,"F","Charlotte",237,0.00242815
1880,"F","Rebecca",236,0.00241791
1880,"F","Ruth",234,0.00239742
1880,"F","Viola",229,0.00234619
1880,"F","Olive",224,0.00229496
1880,"F","Amelia",221,0.00226423
1880,"F","Hannah",221,0.00226423
1880,"F","Jane",215,0.00220276
1880,"F","Virginia",213,0.00218227
1880,"F","Emily",210,0.00215153
1880,"F","Matilda",210,0.00215153
1880,"F","Irene",204,0.00209006
1880,"F","Kathryn",204,0.00209006
1880,"F","Esther",198,0.00202858
1880,"F","Willie",192,0.00196711
1880,"F","Henrietta",191,0.00195687
1880,"F","Ollie",183,0.0018749
1880,"F","Amy",167,0.00171098
1880,"F","Rachel",166,0.00170073
1880,"F","Sara",165,0.00169049
1880,"F","Estella",162,0.00165975
1880,"F","Theresa",153,0.00156754
1880,"F","Augusta",151,0.00154705
1880,"F","Ora",149,0.00152656
1880,"F","Pauline",144,0.00147533
1880,"F","Josie",141,0.0014446
1880,"F","Lola",138,0.00141386
1880,"F","Sophia",138,0.00141386
1880,"F","Leona",137,0.00140362
1880,"F","Anne",136,0.00139337
1880,"F","Mildred",132,0.00135239
1880,"F","Ann",131,0.00134214
1880,"F","Beulah",131,0.00134214
1880,"F","Callie",131,0.00134214
1880,"F","Lou",131,0.00134214
1880,"F","Delia",129,0.00132165
1880,"F","Eleanor",129,0.00132165
1880,"F","Barbara",127,0.00130116
1880,"F","Iva",127,0.00130116
1880,"F","Louisa",126,0.00129092
1880,"F","Maria",125,0.00128067
1880,"F","Mayme",124,0.00127043
1880,"F","Evelyn",122,0.00124994
1880,"F","Estelle",119,0.0012192
1880,"F","Nina",119,0.0012192
1880,"F","Betty",117,0.00119871
1880,"F","Marion",115,0.00117822
1880,"F","Bettie",113,0.00115773
1880,"F","Dorothy",112,0.00114748
1880,"F","Luella",111,0.00113724
1880,"F","Inez",106,0.00108601
1880,"F","Lela",106,0.00108601
1880,"F","Rosie",106,0.00108601
1880,"F","Allie",105,0.00107576
1880,"F","Millie",105,0.00107576
1880,"F","Janie",96,0.00098356
1880,"F","Cornelia",94,0.00096307
1880,"F","Victoria",93,0.00095282
1880,"F","Ruby",92,0.00094257
1880,"F","Winifred",92,0.00094257
1880,"F","Alta",91,0.00093233
1880,"F","Celia",90,0.00092208
1880,"F","Christine",89,0.00091184
1880,"F","Beatrice",87,0.00089135
1880,"F","Birdie",85,0.00087086
1880,"F","Harriett",83,0.00085037
1880,"F","Mable",83,0.00085037
1880,"F","Myra",83,0.00085037
1880,"F","Sophie",83,0.00085037
1880,"F","Tillie",83,0.00085037
1880,"F","Isabel",81,0.00082988
1880,"F","Sylvia",81,0.00082988
1880,"F","Carolyn",80,0.00081963
1880,"F","Isabelle",80,0.00081963
1880,"F","Leila",80,0.00081963
1880,"F","Sally",80,0.00081963
1880,"F","Ina",79,0.00080938
1880,"F","Essie",78,0.00079914
1880,"F","Bertie",77,0.00078889
1880,"F","Nell",77,0.00078889
1880,"F","Alberta",76,0.00077865
1880,"F","Katharine",76,0.00077865
1880,"F","Lora",74,0.00075816
1880,"F","Rena",74,0.00075816
1880,"F","Mina",73,0.00074791
1880,"F","Rhoda",73,0.00074791
1880,"F","Mathilda",72,0.00073767
1880,"F","Abbie",71,0.00072742
1880,"F","Eula",70,0.00071718
1880,"F","Dollie",69,0.00070693
1880,"F","Hettie",69,0.00070693
1880,"F","Eunice",67,0.00068644
1880,"F","Fanny",67,0.00068644
1880,"F","Ola",67,0.00068644
1880,"F","Lenora",66,0.00067619
1880,"F","Adelaide",65,0.00066595
1880,"F","Christina",65,0.00066595
1880,"F","Lelia",65,0.00066595
1880,"F","Nelle",65,0.00066595
1880,"F","Sue",65,0.00066595
1880,"F","Johanna",64,0.0006557
1880,"F","Lilly",64,0.0006557
1880,"F","Lucinda",63,0.00064546
1880,"F","Minerva",63,0.00064546
1880,"F","Lettie",62,0.00063521
1880,"F","Roxie",62,0.00063521
1880,"F","Cynthia",61,0.00062497
1880,"F","Helena",60,0.00061472
1880,"F","Hilda",60,0.00061472
1880,"F","Hulda",60,0.00061472
